分佈,site_id,區/鄉,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
東,臺東縣達仁鄉,達仁鄉,0.0914,0.6515,42,58.8,0.804226919,0.737896494,0.680767061,0.311246201,0.221364985,0.232501522,0.48298009,0.786303107,0.827033953,0.754274858,1577
東,臺東縣大武鄉,大武鄉,0.1005,0.6669,43,54.1,0.799382716,0.724671307,0.736170213,0.388205346,0.266066838,0.275802255,0.574126534,0.773681755,0.744218971,0.734492481,2143
東,臺東縣東河鄉,東河鄉,0.0902,0.6763,49,50.4,0.792285805,0.730153649,0.62855338,0.397768297,0.263457038,0.284686536,0.580541696,0.771633752,0.758909091,0.733789625,2785
東,臺東縣關山鎮,關山鎮,0.1461,0.6533,45,55,0.771057094,0.703191189,0.603192702,0.374824783,0.2625,0.297063903,0.615609471,0.816942269,0.791555159,0.780316344,3447
東,臺東縣海端鄉,海端鄉,0.0998,0.6083,35,58.9,0.813898704,0.715969358,0.595719382,0.325451151,0.215073529,0.233270794,0.555194805,0.750325945,0.742763158,0.72214941,1534
東,臺東縣金峰鄉,金峰鄉,0.1025,0.6322,37.9286,59.9,0.793659044,0.743348983,0.67207113,0.295994994,0.271257485,0.278527607,0.60070922,0.774147727,0.757142857,0.718550107,1408
東,臺東縣蘭嶼鄉,蘭嶼鄉,0.1501,0.595,36,60.6,0.753094059,0.624765478,0.535423197,0.428856383,0.27615894,0.30458221,0.436940041,0.726495726,0.711925287,0.686925795,1404
東,臺東縣鹿野鄉,鹿野鄉,0.1128,0.6759,46.3125,54.1,0.753094911,0.679394565,0.581211287,0.444181326,0.297111417,0.313177211,0.590645395,0.758249641,0.734477721,0.742346939,2788
東,臺東縣綠島鄉,綠島鄉,0.2087,0.6391,39,69.8,0.712710765,0.681847755,0.617647059,0.340983607,0.316239316,0.310092961,0.619931271,0.810829335,0.792674499,0.78228022,1459
東,臺東縣臺東市,臺東市,0.2079,0.6337,41,60.2,0.773720417,0.716635124,0.630070143,0.371749978,0.266853128,0.289528224,0.61520821,0.808870931,0.790110745,0.784930288,44054
東,臺東縣太麻里鄉,太麻里鄉,0.0971,0.6731,44.2705,55,0.815810277,0.751784298,0.667854315,0.414917883,0.251660179,0.267054715,0.594056913,0.777005215,0.755292339,0.749066468,4027
東,臺東縣延平鄉,延平鄉,0.1142,0.6271,37.5,55.7,0.812002449,0.717948718,0.659627329,0.321056289,0.236718225,0.230557467,0.551724138,0.764215315,0.742944317,0.738867925,1319
東,臺東縣長濱鄉,長濱鄉,0.0764,0.6741,50.0984,48.7,0.797572435,0.730394069,0.635473767,0.388679245,0.238641189,0.256709957,0.60170697,0.77268561,0.756782485,0.735664336,2182
南,臺南市安定區,安定區,0.2081,0.6684,41,56.3,0.750908956,0.69922366,0.632847741,0.556600226,0.312611012,0.340798366,0.569754192,0.775488939,0.737834105,0.762848397,12476
南,臺南市安南區,安南區,0.2441,0.6413,38.0657,56.9,0.726606184,0.674026605,0.621555976,0.538161248,0.334799123,0.347316604,0.572454099,0.775211834,0.734811958,0.758320106,75649
