郵遞區號,區/鄉
885,湖西村
884,白沙鄉
881,西嶼鄉
882,望安鄉
883,七美鄉
893,金城鎮
892,金寧鄉
894,烈嶼鄉
891,金湖鎮
890,金沙鎮
896,烏坵鄉
209,南竿鄉
210,北竿鄉
211,莒光鄉
212,東引鄉
